Album Name, Date, Sale
Map of the Soul: 7,2020,4600000
Map of the Soul: Persona,2019,3500000
Love Yourself: Answer,2018,3100000
Love Yourself: Tear,2018,2200000
Love Yourself: Her,2017,2150000
Wings,2016,1900000
Face Yourself,2018,1000000
The Most Beautiful Moment in Life: Young Forever,2016,1100000
Dark & Wild,2014,600000
The Most Beautiful Moment in Life Pt.2,2015,520000
The Most Beautiful Moment in Life Pt.1,2015,430000
Skool Luv Affair,2014,380000
O!RUL8,2013,300000
2 Cool 4 Skool,2013,280000
Youth,2016,350000
Wake Up,2014,260000
