Month,Suga
2013-06,4
2013-07,4
2013-08,4
2013-09,4
2013-10,4
2013-11,4
2013-12,4
2014-01,5
2014-02,5
2014-03,6
2014-04,6
2014-05,6
2014-06,6
2014-07,6
2014-08,7
2014-09,6
2014-10,6
2014-11,6
2014-12,7
2015-01,7
2015-02,8
2015-03,8
2015-04,7
2015-05,9
2015-06,10
2015-07,11
2015-08,12
2015-09,11
2015-10,11
2015-11,12
2015-12,17
2016-01,17
2016-02,17
2016-03,18
2016-04,16
2016-05,23
2016-06,23
2016-07,22
2016-08,36
2016-09,23
2016-10,26
2016-11,21
2016-12,27
2017-01,27
2017-02,29
2017-03,35
2017-04,35
2017-05,35
2017-06,42
2017-07,40
2017-08,37
2017-09,35
2017-10,38
2017-11,39
2017-12,31
2018-01,53
2018-02,54
2018-03,65
2018-04,51
2018-05,51
2018-06,55
2018-07,55
2018-08,56
2018-09,51
2018-10,46
2018-11,46
2018-12,49
2019-01,49
2019-02,52
2019-03,60
2019-04,47
2019-05,48
2019-06,50
2019-07,50
2019-08,49
2019-09,38
2019-10,35
2019-11,35
2019-12,43
2020-01,42
2020-02,39
2020-03,58
2020-04,55
2020-05,100
2020-06,67
2020-07,60
2020-08,61
2020-09,66
2020-10,61
2020-11,76
2020-12,74
2021-01,68
2021-02,62
2021-03,98
2021-04,62
2021-05,65
2021-06,69
2021-07,72
2021-08,70
2021-09,58
2021-10,61
2021-11,55
2021-12,84
2022-01,68
2022-02,66
2022-03,94
2022-04,69
2022-05,62
2022-06,56
2022-07,52
2022-08,45
2022-09,46
2022-10,43
2022-11,39
2022-12,42
2023-01,42
2023-02,53
2023-03,71
2023-04,87
2023-05,79
2023-06,62
2023-07,43
2023-08,51
2023-09,37
2023-10,28
2023-11,29
2023-12,32
2024-01,28
2024-02,29
2024-03,46
2024-04,34
2024-05,26
2024-06,26
2024-07,24
2024-08,59
2024-09,26
2024-10,22
2024-11,20
2024-12,20
2025-01,21
2025-02,20
2025-03,25
2025-04,17
2025-05,17
2025-06,34
2025-07,22
2025-08,20
2025-09,22
2025-10,20
2025-11,16
